Post Link,body,owneruserid,ownerdisplayname
"217589","<h2><a href=""https://esolangs.org/wiki/Pxem"" rel=""nofollow noreferrer"">Pxem</a>, 15 bytes (filename) + 0 byte (contents) = 15 bytes</h2>
<h3>Filename</h3>
<p><code>Hello, World!.p</code></p>
<h3>Content</h3>
<p><em>(none)</em></p>
<h3>Description of program</h3>
<p>The program above should output the phrase without LF.
If you'd like LF, here is an alternative filename (19 bytes);</p>
<p><code>ak.-Hello, World!.p</code></p>
<h3>Description of language</h3>
<p>The main feature of this programming language to recognize filename as main routine of the program; content of the file is subroutine.</p>
Implementations
<p>So far there are two major implementations:</p>
<ul>
<li><a href=""https://vivibit.net/remember_pxem/#i-2"" rel=""nofollow noreferrer"">Designer's original C++ implementation</a> --- Distributed as pxemi.7z.</li>
<li><a href=""https://github.com/wktk/rpxem"" rel=""nofollow noreferrer"">wktk's Ruby implementation</a></li>
</ul>
","","user100411"
"218686","<h1><a href=""https://esolangs.org/wiki/Pxem"" rel=""nofollow noreferrer"">Pxem</a> (Filename: 5 bytes; Contents: 0 byte)</h1>
<ul>
<li>Filename: <code>x.r.n</code></li>
<li>File content is empty.</li>
</ul>
<h2>Explaination</h2>
<ul>
<li><code>x</code> pushes an ascii code of the character (120) as a signed integer.</li>
<li><code>.r</code> pops 120 to push back one of 0-119.</li>
<li><code>.n</code> pops the integer to output as a decimal.</li>
</ul>
","","user100411"
"220776","<h1><a href=""https://esolangs.org/wiki/Pxem"" rel=""nofollow noreferrer"">Pxem</a>, Contents: 0 bytes + Filename: <s>33</s> 25 bytes</h1>
<ul>
<li>Filename(unprintables are escaped): <code>1._.c.w\001.r.yXX-.a.p.d.a.n</code></li>
<li>Content is empty.</li>
</ul>
<p><a href=""https://tio.run/##jVh7V9rKFv@/n2JII5khCckgKBKjUvRazlGK1rqsgK5AgoIxcJKgaOB89d49kyAQertu1yqZ@e3n7Mc8fAoef33@XHb2rN5uz@kW@oXtsr2r7@z0Sra@U@p3rb5u64ViSS@VaOlT4IRIdSbG5NkKnpCuFwqGMx2P/BCd1e6rZ2dmzcDh29hBD07YG3n9bJbPeqPnZ8uzyYFmOy@aN3FdVDjI0mw2EW5Wr76agogTPqSOFwo4iYgR@8iVeTxQ58LC7I9G/eb@@9WxWdD17QXY/Pa9fnP287727fLypHZlUqOFBDH6Uv3@9f765PJ7/VujIr/NBWSiN9TJZvmqRmg8CgbTeCZ/iUVu/4eE8zxxrdBBwSPnH41DGL6OfDsYu4Mwm7XcgRUg9QFJYkRlQTwS5pIpsa@UzTZ@nJ3Vzo/NCreBmT3bCB4H/dDgY8T4EsDpPY6Q@Jkwy5RZzoChwsi1D7IQ@hfLRUIG9S03cITZbJXGVXPp6SxwbCQF2lR704wAft41iSt8Rx0mxLmAZyHawwSPIAlVD6kv4YTOQh@ptQC1W7q610FSq@3lOtLswXfGKB8r1@6KO6IWVaqG2DUahtb2@LwJ5u7y@banaUa3aszjaeuO6aG0IGpjzQhXwbK@iVFKRW2UAnf3NjFKQdpLM5Y3MaqXRG2QZtzexPaA7z6NgeVeCtvZ3cQoBeEgvb7tTYxScPElzbiziVEdItZPu61vYlSHiDlpH/c2MUqLouanTRc2MUpB@jXNuLuJ0QL4M00zljcxWgAf39KMe5sYLYA/7@kk6L/BwB0rvejSJkYpxDZMWy5uYlQHd57T8d7dxKgO7thp0@VNrAjpl9MYuKimsG3gy6Qx8FpMY@DMFsPm0gz3rGS7sEnSlLxfteiUNeXUsKH/Tpl0G@fbpI3bHvvN59pE1Nrb7UKbasAVaPkcdOt0vb8rriFmIq31On17t@yOlokaRtcFhXPjDZpdQ5qhte4SKitxUUO2tqZD9ZCUmG/dHSkdsAse4FY8BBcKR4i58JjwxDjK54DEPYutw3rG3E1RUxjaBRcgxRHMMlEAo6o2NroXgMZsyhEo@GC0Pxht7XjBuMa2oCRxqPiGGMXmjhBTDVsc50bVBRJWeWjFTAMoba@F1PdOzmbaQn8FgSXx@HTixWqcZAHbmOc0XpwVS83B28rFh8o89y28SO25STy@QmSOqxCXaZJcHtll3OL4nCaa@P/YldiTJOu/E5TQ4uhYSYg26GPX6jquaQptKpCIrwS3xiNvcN8LXvqOHz7LGXFL7TDuNsXE0B5iHlaP7Ygq7TkjNXGbJjRr1aVg0sUCS4igMOlDGAsV4UhQuFkyTwyu8/@J@VjUur5jPfEJ5K2KBXc0GiNvFKJnK@w9DrwHAVilxXJlTLQupoT7pvKJmswyfKbHExEm/ywmW3zC2KAZeSNK/ZGfxAo8MgwSScZHl0pziZBf/2lUz09Miebv8738a1vXad7Pv93cqHkrP87b8OtJn2rfGlcnjStTkj7hsT/wwj4c7lxSTEjC7LWH1B6B4/tX4PdM6cvJab0RQarkwHFsEvhwrcJ8OO9PvF44GHmoiY9J9L31pPyNScc8NmDYkeUl/QSTyHfCie@hjAw8S8pfSwrgB3RJ@XtJYeqWhKs1AjOp0hXyDb4k0aUJXNwNVTUS5sslzwTXSMTXj2pL9BRfKrcfuuHa6A4850A/FPWKuuLY19iASA1eLne8FmWoGkEgaxCKoU3zP5j5iWeu2K7i84VH5zMBUgvxZ1fTQYhWTI9h6a@PA9fBGQgpGa1GEiYRgLPZBN8AbUnwcF25Vo4Vl7AscsHo2gQewzVdx3sIH/E1MViB1eF@W983XYNMMD42YS1B6ONrpS7LCiXkX4GvSzg8lovlSrFE5ksjA7DexKdrhu/xuVJTbpWfJDo3hfx9BTWgTSxkO73BM9w3YbHOg@PDdzwJBaNmgrhxCz4wX1iNg7vF3f1aNlvbL5UJbzwDsNq/wl2xtV3qiLBn3JrFolpLhOPeBBZcjsVoEQJSM83tAoliFngKhANv4sxZxBlrbb9YBp6D0i5hUGx8aTbWTH6a@CdBNbVYNlj2jCa@zf1cWWtvEf0mvloLQrAg3Kwm6wVyMlSuSVQ3dW5xaPI6hvAPWdkqQ1XtmNcsUWxW73AQ8tDh82FnJfT@0jREFPP@JDlWAysGX5dNs@nNFF8o3FYG2pFFOAOzC14i1@bFPuNNZK@XQm9/FDr4vdD7hxtMiruhrrkSLhbzCL1rrpGegfQExYLgpdTEjL5C7GILAhqX@F@swpvYOgRx2WKRqNwkETGWO0bOpGohh619neRYzuC7EtR/0vqGScfcJIvFw5xLoGLAjJDfgoMiD9UoVNCt48O9afAyCECNwAqFJcU6HB64h8Mtt@JuDSt8rPEx5Gge77Dgmal3oBzgcZfam4VZjwjS0rk@RGKN62Pv3nxs/eGtZcaHVHwzgIsXHFrszav63hOd9SYwsiUkIbVfWJxmcJFp4ixhj74VdxxezPEpGUHh8oJ@kmVDlof7mG3CrGgh5HH4h8kUBsT4/TLYcm3HdeBdDHmGVki2J2gQWa7vg7hM45bgJ02da5Qp9Em86cvxvDOXDHZSsT8IwNWph/gfDSasQ0bP7AkMoL8BLmNoF5HaKK4xzGZ4DM/xKrzxB7bihINnRxn3xhPlJXg3bHjIk9UcFP/84EWhNXDhOltcCTC7Ukdldq3hlydpZr0@gS5kmWqBFneL5e2dYhlJkSWboj4/aRwnp4YFlwDh0/@d/0RrEh32ESABcOALnCSJOtzJ4J@Agjg9WNgaCYqoE2k2tfwHiEF9ipLMTT@hX/p/AQ"" rel=""nofollow noreferrer"" title=""ksh – Try It Online"">Try it online!</a></p>
<h2>Usage</h2>
<p>Give an integer from STDIN. The result is output from stdout, with no LF termination.</p>
<h2>How it works</h2>
<pre><code>XX.z
# Prepare character 1 at this point
.aXX1.z
# integer input is pushed
.a._XX.z
# duplicate, and is it non-zero?
.a.c.wXX.z
  # then come here
  # also \001.r is an idiom to push zero:
  # actually &quot;n=pop;push(int(random()*n))&quot;
  # where 0&lt;=random()&lt;1
  # because filename cannot have null character
  # don't be afraid of such binary for code golf
  .a\001.rXX.z
  # is input less than zero?
  # DOT-y to DOT-a is:
  # while size&lt;2 OR pop&gt;pop; do something; done
  .a.yXX.z
    # if so, push hyphen so string &quot;-1&quot; is made
    .aXXXX-.z
  .a.aXX.z
  # at this point DOT-y popped two items: zero and input integer
  # so no worry about garbages
  # print the string and exit
  # .p is actually: while !empty; do printf &quot;%c&quot;, pop; done
  .a.p.dXX.z
# if input is zero, come here
# .n is printf &quot;%d&quot;, pop
# OBTW the &quot;1&quot; will on stack, but it's not matter,
# because it is ignored when program ends
.a.a.n
</code></pre>
<h2>Previously</h2>
<ul>
<li>33bytes of filename: <code>._.c.w.c00.-.-.z-1.p.d.a1.o.d.a.n</code></li>
</ul>
","","user100411"
"220800","<h1><a href=""https://esolangs.org/wiki/Pxem"" rel=""nofollow noreferrer"">Pxem</a>, 10 bytes of file name + 0 bytes of content = 10 bytes</h1>
<ul>
<li>Filename: <code>John Doe.p</code></li>
<li>Content is empty</li>
</ul>
<p>What a low effort.</p>
","","user100411"
"220804","<h1><a href=""https://esolangs.org/wiki/Pxem"" rel=""nofollow noreferrer"">Pxem</a>, Filename: 4 bytes + Content: 0 bytes = 4 bytes.</h1>
<ul>
<li>Filename: <code>.w.a</code></li>
<li>Content: none</li>
</ul>
","","user100411"
"220806","<h1><a href=""https://esolangs.org/wiki/Pxem"" rel=""nofollow noreferrer"">Pxem</a>, 5 characters (assumes arbitrary length of filename and arbitrary size of stack are available).</h1>
<pre><code>.acvz
</code></pre>
<h2>How it works</h2>
<p>According to <a href=""http://web.archive.org/web/20210503025421/http://forums.acidch.at/showthread.php?tid=7526"" rel=""nofollow noreferrer"">this archive of blog</a>, this is how to emulate a <a href=""https://esolangs.org/wiki/Cyclic_tag_system"" rel=""nofollow noreferrer"">CTS</a>:</p>
<pre><code>3.2.2.1. Syntax in EBNF

    Filename = init, main [, omitable ];
    init = dummy, data-string;
    dummy = '01';
    data-string = { data-bit }, end-of-string;
    data-bit = '0', actual-bit;
    actual-bit = '0' | '1';
    end-of-string = '1';
    main = '.z', { command, } exiter, '.a';
    command = empty-checker, actual-command;
    empty-checker = 'c0.z1.z.a.v1.v.c0.z0000.a'; If empty, data string is updated with a '0' string.
    actual-command = '00.a1.z.a0.zv', pushing-data-string-reversed, '.v00.a';
    pushing-data-string-reversed = { actual-bit, '0' };
    exiter = '.c0.z1.z.a.v1.v00.a.c1';
    omitable = '.d.pxe';
</code></pre>
<p>But these modification would make it still Turing-complete:</p>
<ul>
<li>Omit omitable</li>
<li>Replace <code>0</code> and <code>1</code> with <code>a</code> and <code>z</code> respectively</li>
</ul>
<p>This is thus the code to emulate the program (011, 10, 101) with input &quot;1&quot;:</p>
<pre><code>azazz.z.ca.zz.z.a.vz.v.ca.zaaaa.aaa.az.z.aa.zvzazaaa.vaa.a.ca.zz.z.a.vz.v.ca.zaaaa.aaa.az.z.aa.z.vaaza.vaa.a.ca.zz.z.a.vz.v.ca.zaaaa.aaa.az.z.aa.z.vzaaaza.vaa.a.ca.zz.z.a.vz.vaa.a.cz.a
</code></pre>
","","user100411"
"220807","<h1><a href=""https://esolangs.org/wiki/Pxem"" rel=""nofollow noreferrer"">Pxem</a>, Filename: <s>23</s> 17 bytes + Content: 0 bytes = <s>23</s> 17 bytes, depends on ASCII-compatible encoding.</h1>
<ul>
<li>Filename: <code>d.!.t.w.m.r.c.n,.o.a</code></li>
<li>Content: empty</li>
</ul>
<h2>Commented</h2>
<pre><code>d.t  # heap = 100
.w # loop
  .m.r # push(random(min=0,max=heap-1))
  .c # dup()
  .n # printf(&quot;%d&quot;,pop())
  ,.o # putchar(',')
.a # break if pop()==0
</code></pre>
","","user100411"
"220808","<h1><a href=""https://wiki.debian.org/Shell"" rel=""nofollow noreferrer"">Dash</a> (POSIX shell with POSIX utility ), <s>50</s> <s>47</s> 27 bytes</h1>

<pre class=""lang-sh prettyprint-override""><code>$((1${1%0*}-1$1?9-9$1%9:0))
</code></pre>
<p><a href=""https://tio.run/##TdA7DsIwDADQnVN4SKUWKVKcND86cBGWqg0qSyORbIizBwZqk@nJjm3Z61y2ds9PqKnUZS4JHjugNqN1PkTAHxQE56M1qBVoinEWNcuwRpZlOZZnBfU3Vx0kUYyy9I8qqJa6UD/eSBlvow5ugjWf4PtKqiAliOMCE6Rly3Brou9RvLBT57dEgdcoo8AuXtQwtDXvqX0A"" rel=""nofollow noreferrer"" title=""Dash – Try It Online"">Try it online!</a></p>
<p>The code above evaluates to a string of digit.</p>
<h2>Alternative</h2>
<pre class=""lang-sh prettyprint-override""><code>$((1${1#*0}-1$1?9-9$1%9:0))
</code></pre>
<h2>How it works</h2>
<ul>
<li><code>${1%0*}</code>. If $1 has 0, then remove digits from right up to 0; else unchanged.</li>
<li><code>${1#*0}</code>. Similar but from left.</li>
<li>Why <code>1$1</code> and <code>9$9</code>? Numbers begining from 0 is octal; but it would be syntax error if $1 has 8 and 9. They are for workarounding.</li>
</ul>
","","user100411"
"220823","<h1><a href=""https://esolangs.org/wiki/Pxem"" rel=""nofollow noreferrer"">Pxem</a>, Filename: 103 bytes + Content: 0 bytes = 103 bytes</h1>
<p>Filename as follows (if your filesystem doesn't support LF, I'm sorry) (also requires to be ASCII-compatible):</p>
<pre><code>x
.p
x.n
.o.n
.o04x
.-.t.z
.c.zxxx
.a.m.m.w
.sx.oab.-
.s.-.c.a.s
.c.o.c.$.mx
.s.s.+.tao.-
.s.m.a.dxxxxx
</code></pre>
<p>Content is empty.</p>
<p><a href=""https://tio.run/##5VhLc9s2EL7zV8BxHEmxDCedTA@qFLsPt3WnaTpOcspkOBAJSohJggVAS3Li354uCJAAH3acTHOqPabJfXy7WAC7C4hyufu0j1K2PBbFlmbHUpHoEotlkPG4TCm6@BuoAUJRSqRErzQXzdGPQpAdUBGKaYJYzhQjKbum48dErOQUPVqmPLqcVBIIybKg4hYWy4qUhtGaRpfjx5KmieHQPA4a/KKU6/uoa4nP2mwhl7lcs0R9G/D5/Nvgvn23@DZxZrmkQn0b7IwUe/81ciHYFVG0sXF7YPU7piRao5ijj/D10TIQYgka7wEFMxmSE3SeK7qiYtLwERKESQpLflVmNFdnQnCBc7pBo5qEslIqtKS18qhR1o6238x//awG4W89BtqiEBSeegMK@k/JBEUjGZE8GQXDO/LcKVX4RCkRkiiiUnKBZhD2guUrxxKUxFTA16za6VM0UzQrgqG9bHUXH27qaJxaElpoWVKmKrSU8QRnVKwapc4K2EcvC5ojkseIbmlUKooI0uNACUvdBHIQGmvKFFXeLaqxzmZV2tExnyLt7SJnae2SKPPxr6CBl0TSnGS00p9MUUVsACdYD9zCGpSei2dtzyIeO8@0GY2jLQAKL0VEF6PR/f08ddqnRl2/GG9OtTDEtBapVmq43CmKFQ9Jba/lvYVdlklCBUBEpYAJnyJAWKk1gPVdejJ1XmAjF1iYzRroaGxRIMEbttsF0ZoIAG3031rRd43EPvrl7Kc3v6Hfzy7OGuKr17@cXVzgolQSPdj/YJVuZmj/g0a8mdoXHK3FzYNGrfbjcIGetjZq10H06BF69j1aLIyD8KWd047adfi277G2hWO@ySNYMe/8je57q1VuYZmY4/ec5eMH0wc@gplRbAqWkfPZhjIwOZ5MGMI6jsNwrD1oYQ8FhaaS9gzguqzpoExuSUb1/qGqFLl1vJ@2O9vcKn3wZv38@GXzNSpGaPEcjXipIFIhSdPR1DG5z/QZeUsrLzOfyQyT5R2l0KNbHc@rV81wKuHICEe82PkY0pDVWvBNSDakxbwyTEGvqJC0Da@TCyQIyL25kk4lqVVIHOp158NRw6NZKaBmteEuSDM1ICksChDbYn9yXjixjRHb@Ea2hrb1aTtDa43t2tCufRoxNNK2@RpyDRdE7KCGUuKklQ0dD3U28nEyw0kEz2qenyQ4yrlau7UEGrHRuOKsM@AXBFJUI3ZoHYxjKFE8920eGZYsl0qQqMvdM9wMFjIrUhaRrsBDI/BPyRWDGfVZBzWyKNJSNpyboT7E1hFczFxFa3ZCK9Ma8g@trqDW5l1tqwlvUZNgeAG9awpFvqZAoNXupAeW91yBrVIDCug4PMSeMpt5bYFzRKqY5ZDEICee/4VXVEVBP/sZoRMjjLmI0QwdPe3VXBx2bHj@tZJp1QSNRwfxaNIHiRyI3uID@vYdWibVV5dO3aWCDshAeK6cmk0SbR1L3OspJr6iTRVDY7aNQqcdqHH746AO16aZIdQo5TnFuqHxGpFWR4IrkYE4C89xl7J89HHVzaPHXtwm2mvWB9s4sLr@vS@hD6oa8taq1nX9iS7yHmgPbuvgtl2479C8UZbQ2mpAbyc9vxt555B3X4g8vxv52iFffyHy3dH4Q6MkXGwIbDzFYVcIQWXB81gfVzBpzGpz1nLES@C55sL2hBUZ5zy/poKfTD7fo5l@rN93@b2MlnurS5cuVbo0QSl6h1kepWVMT/rKh0/bbZuPVXvecqTqjLSVqqwtvg7xqIPoFen@wW4gIv5UEzfVpCMPZr7rzMHRPSfhfxjvVtyeDpyu64grL6ubLqWOuz1u3ZHaM6fb9DFDVaU6R@ronjYSPkzsYHRz0@MfeovCdjW31y696w/9Ta/tdrNEz8TRDLn7EdceDaVuz85RK3@TpbyfsT03nnazdfeoHn/xqB46Q3XTNjSiZOEBPx9L//MEJccSmhJ5nNzP5sHMC2TVDX6FyYPK5MFnTA5fEN16KzufI3031rgHB8oxL3TcpXd5Y8@c3oUR9gTvvFjLqFrzOMyYlPqux1xjDN7Y2eOk6QJshwpWsK0@oeInrYOt5rVOvIO4rSPpXVA9Hvr40V4wOtFOhINP@@j36lZshtZKFXJ2fLxial0uccSz482lujTxh7lYlgoxBJPAEkZjxBQiaAlPKLXg27JcrfTBpsaDqYtoLkGwzPXni/PXNSn49a8fX5wt5vMR@MAT7dzeKNgGuAi2OA8wrx5PngHlCCt8HeAIX2@38ElwBr@bAMst5mSJj@ANZCJgSC3F4e8hzraaLPEhVoQbmQwk4q3@CZzN4NXLNxc/ny1Go0/V@qj6wsq3KTKsyad/AQ"" rel=""nofollow noreferrer"">Try it online, with rpxem!</a></p>
<h2>Output</h2>
<pre><code>x
10
120
xxxx
xxxxx
xxxxxx
xxxxxxx
xxxxxxxx
xxxxxxxxx
xxxxxxxxxx
xxxxxxxxxxx
xxxxxxxxxxxx
xxxxxxxxxxxxx
</code></pre>
<h2>With comments</h2>
<p>Note that every LF is replaced with '?'.</p>
<pre><code>x?.pXX.z # print'x', LF
.a?x.nXX.z # print LF.ord # two-digits
.a?.oXX.z # print LF
.a.n?.sXX.z
.a04x?.-.tXX.z # i = 4
.a.zXX.z # loop
  .a?.c.zxxx?.aXX.z # essentially nop
  .a.m.m.wXX.z # j = i; while j!=0
    .a?.sx.oXX.z # print'x'
    .aab.-?.s.-.cXX.z # j--
  .a.a.s?.c.oXX.z # end-while; print LF
  .a.c.$.mx?.s.s.+.tXX.z # i++
  .aao.-?.s.mXX.z # break if !(14&gt;i)
.a.a.dxxxxx # end-loop; end program
</code></pre>
","","user100411"
"220892","<h1><a href=""https://esolangs.org/wiki/Pxem"" rel=""nofollow noreferrer"">Pxem</a>, (See below)</h1>
<h2>Depends on invokation</h2>
<h3><a href=""https://vivibit.net/download/dlm_download-3430/"" rel=""nofollow noreferrer"">pxemi.7z</a>, 0 bytes (on invokation).</h3>
<p>Compile the source code in C++ and run the interpreter with no arguments, like this: <code>/path/to/pxemi</code>.
The following line is output to stderr: <code>usage: pxemi pxemFileName</code>.</p>
<h3><a href=""https://github.com/wktk/rpxem"" rel=""nofollow noreferrer"">RPxem</a>, 0 bytes (on invokation)</h3>
<p>Just like nk.'s pxemi, run with no arguments: <code>Usage: rpxem path-to-pxem-file.pxe</code> can be seen.</p>
<h2>Programs</h2>
<h3>Pxem, 6 bytes of filename only, case-insensitive, boring.</h3>
<ul>
<li>Filename: <code>pXEM.p</code>.</li>
<li>Content: none.</li>
</ul>
<h3>Pxem, 18 bytes of filename only, case-sensitive output, depends on ASCII-compatible filesystem.</h3>
<ul>
<li>Filename: <code>@-.+23.+7A.+%+.+.p</code></li>
<li>Content: None</li>
</ul>
How it works
<p>On every <code>??.+</code> each character is generated with sum of two characters' ASCII code from backwards.</p>
","","user100411"
